2026-07-07T23:17:37+00:00 | proof.start | {"run_id": "20260707-231736", "pipe": "/workspace/HackWithBay/HackWithBay_repo/pipeline/graphjudge.pipe"}
2026-07-07T23:17:37+00:00 | env.required | {"SCORER_URL": "set", "CONSUME_CREDIT_URL": "set", "OPENROUTER_API_KEY": "set", "ROCKETRIDE_URI": "ws://localhost:5565"}
2026-07-07T23:17:37+00:00 | auth.login.start | {"auth_base": "https://api.butterbase.ai/auth/app_r1568bo1iteg", "email": "demo-999@graphjudge.demo"}
2026-07-07T23:17:38+00:00 | auth.login.done | {"user_id": "36e73935-46d0-494a-af61-23418fa5c0bd", "token": "[REDACTED]"}
2026-07-07T23:17:40+00:00 | rocketride.connect.start | {"uri": "ws://localhost:5565"}
2026-07-07T23:17:40+00:00 | rocketride.connect.done | {"connected": true, "transport": "WebSocket", "uri": "ws://localhost:5565/task/service"}
2026-07-07T23:17:40+00:00 | rocketride.services | {"count": 125}
2026-07-07T23:17:40+00:00 | rocketride.validate | {"components": [{"config": {"hideForm": true, "mode": "Source", "parameters": {}, "type": "webhook"}, "description": "Product-facing entry. Body {user_id, job_id?, text}. job_id is uuid4 (contracts v1.1, decisions #1); generated by scorer/verify.py when absent before data reaches this pipeline.", "id": "webhook_in", "name": "verify webhook (§4.4)", "provider": "webhook"}, {"config": {"type": "graphjudge_runner"}, "description": "Custom RocketRide text filter. Input is the §4.4 JSON body encoded as text/plain. It emits SSE step logs and returns the §4.2 verdict JSON string on lane 'text'.", "id": "graphjudge_runner", "input": [{"from": "webhook_in", "lane": "text"}], "name": "graphjudge_runner (§4.5 -> §4.1 -> §4.2)", "provider": "graphjudge_runner"}, {"config": {"laneName": "text"}, "description": "Returns graphjudge_runner's verdict JSON string under the response_text lane key.", "id": "respond", "input": [{"from": "graphjudge_runner", "lane": "text"}], "name": "respond (§4.2 text passthrough)", "provider": "response_text"}], "description": "GraphJudge verification pipeline (Track B, Shape 2). webhook {user_id, job_id, text, bearer} -> graphjudge_runner -> response_text. graphjudge_runner performs the production steps in order: consume_credit -> OpenRouter extract_claims -> POST {SCORER_URL}/score -> best-effort persist. Emits contracts.md §4.2 verdict JSON on the text lane. RocketRide self-hosted runtime (decisions #0, Cloud waived).", "errors": [{"ccode": 40, "message": "'pipeline' is missing or invalid"}], "pipeline": {"components": null}, "project_id": "0aa9cefd-2f2c-46f4-a870-3dcc2db61f2f", "source": "webhook_in", "version": 1}
2026-07-07T23:17:40+00:00 | rocketride.use.start | {"pipe": "/workspace/HackWithBay/HackWithBay_repo/pipeline/graphjudge.pipe"}
2026-07-07T23:17:53+00:00 | rocketride.use.done | {"id": "11ea4313.webhook_in", "token": "[REDACTED]", "publicToken": "pk_a2d25ec1dc1eb9f47d96066afc9b900d", "projectId": "0aa9cefd-2f2c-46f4-a870-3dcc2db61f2f", "source": "webhook_in", "provider": "webhook"}
2026-07-07T23:17:53+00:00 | rocketride.events.enabled
2026-07-07T23:17:53+00:00 | rocketride.send.start | {"mimetype": "text/plain"}
2026-07-07T23:17:53+00:00 | rocketride.sse | {"type": "graphjudge_step", "step": "input.received", "bytes": 1283}
2026-07-07T23:17:53+00:00 | rocketride.event | {"type": "event", "seq": 9, "event": "apaevt_sse", "body": {"pipe_id": 0, "type": "graphjudge_step", "data": {"step": "input.received", "bytes": 1283}, "__id": "11ea4313.webhook_in"}}
2026-07-07T23:17:54+00:00 | rocketride.sse | {"type": "graphjudge_step", "step": "credit_gate.start", "backend": "live", "already_consumed": false}
2026-07-07T23:17:54+00:00 | rocketride.event | {"type": "event", "seq": 10, "event": "apaevt_sse", "body": {"pipe_id": 0, "type": "graphjudge_step", "data": {"step": "credit_gate.start", "backend": "live", "already_consumed": false}, "__id": "11ea4313.webhook_in"}}
2026-07-07T23:17:56+00:00 | rocketride.sse | {"type": "graphjudge_step", "step": "credit_gate.done", "ok": true, "balance": 990, "degraded": false}
2026-07-07T23:17:56+00:00 | rocketride.event | {"type": "event", "seq": 11, "event": "apaevt_sse", "body": {"pipe_id": 0, "type": "graphjudge_step", "data": {"step": "credit_gate.done", "ok": true, "balance": 990, "degraded": false}, "__id": "11ea4313.webhook_in"}}
2026-07-07T23:17:56+00:00 | rocketride.sse | {"type": "graphjudge_step", "step": "extract_claims.start", "backend": "OpenRouter"}
